Timestamp	What is your gender?	What year are you?	What is your relationship status?	Are you currently sexually active?	How frequently do you have sex?	How often do you masturbate?	Where have you had sex?	How often do you have "one night stands"?	How frequently do you watch porn?	Have you ever cheated on someone?	Have you ever been cheated on?	Do you consider yourself a virgin?	Have you ever had sex while under the influence? (check all that apply)	What department does your major belong to?	What sexual orientation do you most identify with?	Which of the following sex toys have you used during sex?	Have you ever paid for sex?	Were you a virgin when you first arrived at Mines?	Who of the following have you had sex with?	How confident are you in your sexual abilities?	How would you rate other Mines students' sexual abilities based on previous sexual encounters?	What of these sexual activities have you done?	Do you own any sex toys and/or have you used them?	Have you ever faked an orgasm?	What is your most common method of contraception and/or STD protection?	On a scale of 1 to 5, how happy are you with your sex life?	Have you ever had an STD?	Do you currently have an STD?	When was the last time you were tested for  STDs?	Have you ever been paid for sex?	What do you consider to be "sex"?	Have you ever sincerely used the term RIBS (Ratio Induced Bitchiness Syndrome)?	Any Comments?	What is your GPA?	At what bar/brewery do you spend the most time?	What operating system do you run on your personal computer?	Where do you usually study?	How frequently do you talk to your parents?	Have you had an internship?	How frequently do you exercise?	Did you vote in the November election?	Are you in-state or out-of-state?	How many facebook friends do you have?	In the last year, how many books did you start and finish?	In the last 12 months, how many different individuals have you had sex with?
2/4/2015 20:07:30	Female	Junior	In a committed relationship	Yes	3-5 times per week	A few times a month	An athletics field/stadium, A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol	Mechanical Engineering	Heterosexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold, Ben Wa Balls	No	No	A student from another college	4	1	Used props, Anal sex	I own them but don't use them (...what?)	Yes	An intrauterine device (IUD)	3	No	No	Within the past six months	No	Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	No		3	Ace-Hi Tavern	Mac OS	Arthur Lakes Library	More than once a week	Yes	More than once a week	No	Out-of-State	600	6-10	1
2/4/2015 20:10:42	Female	Senior	In a committed relationship	Yes	1-2 times per week	Almost never	A bedroom, A car, A campus building, A shower/bathroom, behind a campus building	I have never had a one night stand.	Almost never	No	No	No	Alcohol	Civil and Environmental Engineering	Heterosexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold	No	No	Another Mines student, A student from another college	4	2	Used props, Made a sex tape, Had sex in a room where someone else was sleeping	I own and use them	Yes	Oral birth control	4	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	Yes		2.9	Cannonball Creek Brewery	Mac OS	At your house/dorm/apartment	More than once a week	Yes	2-3 times per month	Yes	In-State	300	None	1
2/4/2015 20:10:57	Female	Freshman	Single	Yes	1-2 times per month	Almost never	A bedroom, A campus building	I have never had a one night stand.	Almost never	No	No	No	Alcohol, Marijuana	Chemical and Biological Engineering	Heterosexual	None of these.	No	No	Another Mines student, A student from another college	3	3	None of these.	I've never used them and I don't own any	Yes	Oral birth control	3	No	No	Never	No	Vaginal sex	Yes		3.3	Mountain Toad	Mac OS	Brown Building	Once a week	No	More than once a week	Yes	Out-of-State	600	More than 15	2
2/4/2015 20:12:14	Female	Junior	In a committed relationship	Yes	3-5 times per week	Almost never	A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol	Chemistry and Geochemistry	Heterosexual	Dildo, Anal Plug	No	Yes	Another Mines student, A student from another college	3	2	Threesome (or more...), Anal sex	I own and use them	Yes	Oral birth control	3	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	No		2.5	Blue Canyon	Windows	At your house/dorm/apartment	Once a week	No	Once a month	Yes	In-State		2-5	2
2/4/2015 20:15:01	Female	Sophomore	Single	Yes	1-2 times per week	A few times a month	A bedroom, A car, A fraternity house, A shower/bathroom	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol, Marijuana	Chemical and Biological Engineering	Heterosexual		No	No	Another Mines student, A student from another college, A coworker	5	3	Made a sex tape, Used chatroulette for things not in the "terms of use..." In other words, broadcast a sex show., Anal sex	I've never used them and I don't own any	Yes	Male condoms	4	No	No	Never	No	Vaginal sex, Anal sex	Yes		2.5	The Grizzly Rose	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	In-State	426	2-5	7
2/4/2015 20:16:18	Female	Graduate Student	Single			Almost never			Never	No	No	Yes		Mechanical Engineering	Heterosexual					3			I've never used them and I don't own any			2	No	No	Never		Oral sex, Vaginal sex, Anal sex	Yes		3	Rock Rest Lodge	Windows	At your house/dorm/apartment	Once a week	Yes	More than once a week	Yes	In-State	200	11-15	
2/4/2015 20:16:33	Female	Junior	In a committed relationship	Yes	3-5 times per week	Almost never	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	None of these	Mining Engineering	Heterosexual	None of these.	No	Yes	Another Mines student, Someone in your department	3	5	None of these.	I've never used them and I don't own any	No	Oral birth control	5	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	Yes		3	Rock Rest Lodge	Windows	Arthur Lakes Library	Once a week	Yes	More than once a week	No	Out-of-State	300	6-10	1
2/4/2015 20:17:14	Female	Freshman	In a committed relationship	Yes	1-2 times per month	Almost never	A bedroom, A campus building	I have never had a one night stand.	Never	No	Yes	No	None of these	Chemical and Biological Engineering	Heterosexual	None of these.	No	Yes	Another Mines student	5	5	Role play, Had sex in a room where someone else was sleeping	I've never used them and I don't own any	No	Oral birth control	5	No	No	Never	No	Vaginal sex, Anal sex	No		3.3	None	Windows	At your house/dorm/apartment	More than once a week	No	More than once a week	No	In-State	0	2-5	1
2/4/2015 20:17:58	Female	Graduate Student	In a committed relationship	Yes	1-2 times per week	A few times a month	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Almost never	No	Yes	No	Alcohol, Marijuana	Chemistry and Geochemistry	Heterosexual	Whip(s), Vibrator, Handcuffs, Blindfold, Ice, Wax	No	No	Another Mines student	3	4	Role play	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	3	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.3	Golden City Brewery	Windows	Arthur Lakes Library	More than once a week	No	More than once a week	No	In-State	100	2-5	1
2/4/2015 20:18:13	Female	Senior	In a committed relationship	Yes	3-5 times per week	A few times a week	A bedroom, A car, A shower/bathroom, Movie Theater	Once a year (or when the stars align...)	A few times a week	Yes	No	No	Acid, Adderall, Alcohol, Marijuana	Geophysics	Heterosexual	Vibrator, Lollipop	No	No	Another Mines student, A student from another college, Someone in your department	3	3	Used props, Role play, Had sex in a room where someone else was sleeping	I own and use them	No	Oral birth control	5	No	No	Never	No	Vaginal sex	Yes			Rock Rest Lodge	Mac OS	Green Center	Once a week	Yes	More than once a week	No	Out-of-State	500	2-5	1
2/4/2015 20:18:26	Female	Junior	In a committed relationship			A few times a week			A few times a month	No	Yes	Yes		Mechanical Engineering	Heterosexual					3			I've never used them and I don't own any			3	No	No	Never		no idea	No	love the TED video	3.0+	none	Windows	Arthur Lakes Library	Once a week	No	More than once a week	No	Out-of-State	200	2-5	
2/4/2015 20:21:35	Female	Junior	In a committed relationship	Yes	1-2 times per week	A few times a month	A bedroom, A car, A campus building	I have never had a one night stand.	Never	No	Yes	No	None of these	Electrical Engineering and Computer Science	Heterosexual	None of these.	No	No	Another Mines student	2	3		I've never used them and I don't own any	Yes	Oral birth control	2	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	Yes		2.5		Mac OS	Brown Building	Once a week	No	2-3 times per month	No	In-State	150	11-15	1
2/4/2015 20:29:28	Female	Graduate Student	In a committed relationship	Yes	1-2 times per month	A few times a month	An athletics field/stadium, A bedroom, A car, A fraternity house, A shower/bathroom	I have never had a one night stand.	Almost never	Yes	Yes	No	Alcohol, Marijuana	Civil and Environmental Engineering	Heterosexual	Vibrator, Handcuffs, Blindfold	No	No		4		Used props, Had sex in a room where someone else was sleeping, Used chatroulette for things not in the "terms of use..." In other words, broadcast a sex show., Anal sex	I own and use them	Yes		3	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.9		Windows	Local coffee shops	Once a month	Yes	More than once a week	Yes	In-State	150	2-5	1
2/4/2015 20:32:02	Female	Freshman	Single	No	1-2 times per year (or when the stars align...)	Almost never	A bedroom, A shower/bathroom	Once a year (or when the stars align...)	Almost never	No	No	No	Alcohol	Civil and Environmental Engineering	Heterosexual	None of these.	No	No	Another Mines student, A student from another college	4	2	None of these.	I've never used them and I don't own any	Yes	Oral birth control	1	No	No	Never	No	Vaginal sex	No		3.25		Mac OS	At your house/dorm/apartment	Once a week	No	More than once a week	No	Out-of-State	700	2-5	3
2/4/2015 20:32:02	Female	Sophomore	In a committed relationship			Almost never			Never	No	No	Yes		Physics	Heterosexual					3			I've never used them and I don't own any			5	No	No	Within the past year		Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	No		3.7	Golden City Brewery	Windows	Arthur Lakes Library	Once a week	No	More than once a week	No	In-State	4,000,000	2-5	
2/4/2015 20:32:35	Female	Freshman	Single			A few times a month			Never	No	No	Yes		Mechanical Engineering	Heterosexual					1			I've never used them and I don't own any			4	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		3.31	N/A	Windows	At your house/dorm/apartment	Never	No	Almost never	No	In-State	100	11-15	
2/4/2015 20:34:59	Female	Junior	In a committed relationship	Yes	1-2 times per week	I have never masturbated	A bedroom	Once a year (or when the stars align...)	Never	No	No	No	Alcohol	Metallurgical and Materials Engineering	Heterosexual	None of these.	No	No	Another Mines student	3	2	Had sex in a room where someone else was sleeping	I've never used them and I don't own any	Yes	Male condoms	3	No	No	Within the past year	No	Vaginal sex, Anal sex	Yes		2.5	I'm not 21	Mac OS	At your house/dorm/apartment	Once a week	Yes	More than once a week	Yes	In-State	500	2-5	1
2/4/2015 20:36:07	Female	Sophomore	Single	Yes	1-2 times per month	A few times a month	A bedroom, A car, A fraternity house, A shower/bathroom	A few times a month	A few times a month	Yes	Yes	No	Alcohol	Chemistry and Geochemistry	Heterosexual	Dildo, Vibrator, Handcuffs, Blindfold, Ice	No	No	Another Mines student, A student from another college, Random tinder hookup	3	4	Used props, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Oral birth control	2	No	No	Within the past year	No	Vaginal sex, Anal sex	Yes		3.3	Not 21	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	In-State	500	None	6
2/4/2015 20:36:17	Female	Sophomore	Single	Yes	1-2 times per month	A few times a month	A bedroom, A car, A fraternity house, A shower/bathroom	A few times a month	A few times a month	Yes	Yes	No	Alcohol	Chemistry and Geochemistry	Heterosexual	Dildo, Vibrator, Handcuffs, Blindfold, Ice	No	No	Another Mines student, A student from another college, Random tinder hookup	3	4	Used props, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Oral birth control	2	No	No	Within the past year	No	Vaginal sex, Anal sex	Yes		3.3	Not 21	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	In-State	500	None	6
2/4/2015 20:40:42	Female	Senior	In a committed relationship	Yes	3-5 times per week	Almost never	A bedroom, A car, A campus building, A shower/bathroom, A park, next to a campfire	I have never had a one night stand.	Never	No	Yes	No	Alcohol	Chemical and Biological Engineering	Heterosexual	Handcuffs, Blindfold, Ice, Wax	No	Yes	Another Mines student, Someone in your department	3	4	Used props	I own and use them	Yes	Oral birth control	5	No	No	Within the past year	No	Vaginal sex, Anal sex	No		3.802	Barrels and Bottles	Mac OS	At your house/dorm/apartment	More than once a week	Yes	More than once a week	Yes	Out-of-State	778	2-5	1
2/4/2015 20:42:41	Female	Graduate Student	In a committed relationship	Yes	1-2 times per week		A bedroom, A shower/bathroom	I have never had a one night stand.		No	Yes	No	Alcohol, Marijuana	Civil and Environmental Engineering	Heterosexual	None of these.	No	No	A coworker	3		None of these.		Yes	Oral birth control	4	No	No	Within the past year	No	Vaginal sex	No		3.98	Golden City Brewery	Mac OS	At your house/dorm/apartment	Once a week	Yes	More than once a week	Yes	Out-of-State		2-5	1
2/4/2015 20:47:33	Female	Freshman	Single	Yes	1-2 times per week	A few times a week	A bedroom, A car, A fraternity house, A campus building, A shower/bathroom	Once a year (or when the stars align...)	A few times a week	No	Yes	No	Adderall, Alcohol, Marijuana	Mechanical Engineering	Heterosexual	Vibrator, Handcuffs, Ice	No	No	Another Mines student, A student from another college	5	3	Used props, Threesome (or more...), Role play, Made a sex tape, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Male condoms	4	No	No	Never	No	Vaginal sex	Yes		3	Rock Rest Lodge	Mac OS	At your house/dorm/apartment	More than once a week	Yes	More than once a week	No	In-State	1000	None	10
2/4/2015 20:48:15	Female	Senior	Single	Yes	1-2 times per week	A few times a week	A bedroom, A car, A campus building, A shower/bathroom	I have never had a one night stand.	A few times a month	No	Yes	No	Alcohol, Marijuana	Mechanical Engineering	Heterosexual	Vibrator, Ice	No	No	Another Mines student, A student from another college, A roommate, A coworker	3		Used props, Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Male condoms	4	No	No	A while ago...	No	Vaginal sex, Anal sex	Yes		3.11	Rock Rest Lodge	Windows	At your house/dorm/apartment	Once a week	Yes	More than once a week	No	Out-of-State	908	6-10	6
2/4/2015 20:49:03	Female	Senior	MARRIED!!! <3 <3 <3	Yes	3-5 times per week	Almost never	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol	Mechanical Engineering	Heterosexual	Dildo, Vibrator, Cock Ring, Blindfold, Wax	No	Yes		5		None of these.	I own and use them	No	Female condoms	5	No	No	Never	No	Kissing, Oral sex, Vaginal sex, Anal sex	No	Married to the love of my life;) Met him freshman year, married after Junior year, now both graduating.	2.93	Coors Lab! duh			Once a month	No	Once a month	Yes	Out-of-State			1
2/4/2015 20:50:08	Female	Freshman	In an open relationship	Yes	3-5 times per week	A few times a month	An athletics field/stadium, A bedroom, A car, A fraternity house, A campus building, A shower/bathroom	Once a year (or when the stars align...)	A few times a month	No	Yes	No	Alcohol, Marijuana	Chemical and Biological Engineering	Heterosexual	Whip(s), Dildo, Handcuffs, Blindfold, Ice, Wax	No	No	Another Mines student, A student from another college, Someone in your department, A coworker	4	3	Used props, Threesome (or more...), Role play, Made a sex tape, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes		3	No	No	Within the past six months	No	Vaginal sex, Anal sex	Yes		3.7	Blue Canyon	Windows	At your house/dorm/apartment	More than once a week	No	More than once a week	Yes	In-State		6-10	4
2/4/2015 20:50:08	Female	Freshman	Single	Yes	3-5 times per week	Almost never	A bedroom, A car, A fraternity house, A campus building, A shower/bathroom	Once a year (or when the stars align...)	Never	Yes	Yes	No	Alcohol, Marijuana	Civil and Environmental Engineering	Heterosexual	None of these.	No	No	Another Mines student, A student from another college	4	3	Had sex in a room where someone else was sleeping, Anal sex	I've never used them and I don't own any	Yes	Male condoms	4	No	No	Within the past six months	No	Vaginal sex, Anal sex	Yes		2.5		Windows	Brown Building	More than once a week	No	More than once a week	No	In-State	300	More than 15	5
2/4/2015 20:55:07	Female	Sophomore	Single			A few times a week			Almost never	No	No	Yes		Mechanical Engineering	Heterosexual					1			I've never used them and I don't own any			1	No	No	Never		Vaginal sex, Anal sex	No				Mac OS	At your house/dorm/apartment	More than once a week	No	More than once a week	No	Out-of-State	600	More than 15	
2/4/2015 20:56:29	Female	Sophomore	Single	No	1-2 times per year (or when the stars align...)	A few times a month	A bedroom, A fraternity house	I have never had a one night stand.	Almost never	No	No	No	Alcohol	Geology and Geological Engineering	Heterosexual		No	Yes	Another Mines student	2	3	Had sex in a room where someone else was sleeping	I've never used them and I don't own any	No	Oral birth control	2	No	No	Never	No	Vaginal sex	No		2.7		Windows	At your house/dorm/apartment	More than once a week	No	Once a week	No	Out-of-State		2-5	
2/4/2015 20:57:06	Female	Sophomore	Single			A few times a month			Almost never	Yes	No	Yes		Mechanical Engineering	Heterosexual					3			I've never used them and I don't own any			3	No	No	Within the past year		Vaginal sex, Anal sex	No		3.1	Blue Canyon	Mac OS		Once a week	Yes	More than once a week	Yes	Out-of-State	500	6-10	
2/4/2015 21:00:21	Female	Graduate Student	In a committed relationship	Yes	1-2 times per month	A few times a month	A bedroom, A car, A shower/bathroom		Almost never	No	No	No	Adderall, Alcohol, Marijuana, Prescription drugs (pain killers, etc)	Civil and Environmental Engineering	Heterosexual	Dildo, Vibrator, Cock Ring	No	No	A student from another college	4		Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping	I've used them, but don't own them.	Yes	Oral birth control	2	No	No	Within the past three months	No	Oral sex, Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	No				Mac OS	Arthur Lakes Library	Once a month	Yes	2-3 times per month	No	In-State		2-5	1
2/4/2015 21:01:17	Female	Junior	In a committed relationship	Yes	Once a day	Almost never	A bedroom, A car, A shower/bathroom, Kitchen table	I have never had a one night stand.	Never	No	No	No	None of these	Chemical and Biological Engineering	Heterosexual	None of these.	No	Yes	Another Mines student	5	5	Had sex in a room where someone else was sleeping	I've never used them and I don't own any	No	Male condoms	5	No	No	Within the past three months	No	Oral sex, Vaginal sex, Anal sex	No	I'm in a very committed relationship with the man I lost my virginity to and I could not be happier. We have a very active sex life and it just keeps getting better with time.	3.413	The Grizzly Rose	Mac OS	At your house/dorm/apartment	More than once a week	Yes	More than once a week	No	In-State	450	More than 15	1
2/4/2015 21:03:15	Female	Graduate Student	In a committed relationship	No	1-2 times per year (or when the stars align...)	A few times a month	A bedroom	I have never had a one night stand.	Almost never	No	No	No	Alcohol	Geophysics	Heterosexual	None of these.	No	Yes	Another Mines student	2	4	Anal sex	I've never used them and I don't own any	No	Male condoms	2	No	No	Never	No	Vaginal sex, Anal sex	No		3.3	Golden City Brewery	Mac OS	Green Center	More than once a week	Yes	Once a month	Yes	Out-of-State		None	1
2/4/2015 21:12:14	Female	Junior	In a committed relationship	Yes	1-2 times per month	I have never masturbated	A bedroom, A fraternity house, A shower/bathroom	Once a year (or when the stars align...)	Never	No	Yes	No	None of these	Chemical and Biological Engineering	Heterosexual	None of these.	No	No	Another Mines student, A student from another college	2	3	None of these.	I've never used them and I don't own any	No	Oral birth control	2	No	No	Never	No	Vaginal sex	Yes		3.08	Rock Rest Lodge	Mac OS	At your house/dorm/apartment	More than once a week	Yes	More than once a week	No	Out-of-State	811	6-10	4
2/4/2015 21:13:54	Female	Sophomore	Single			A few times a week			Never	No	Yes	Yes		Chemistry and Geochemistry	Heterosexual					3			I've never used them and I don't own any			3	No	No	Never		Vaginal sex, Anal sex	No				Windows	At your house/dorm/apartment	Once a week	No	Once a semester	No	Out-of-State	200	2-5	
2/4/2015 21:20:54	Female	Sophomore	In a committed relationship	Yes	1-2 times per week	I have never masturbated	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol, Prescription drugs (pain killers, etc)	Metallurgical and Materials Engineering	Heterosexual		No	Yes	Another Mines student	4	3	Anal sex	I've never used them and I don't own any	No	Male condoms	4	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	Yes		3.0+		Windows	At your house/dorm/apartment	More than once a week	No	More than once a week	No	Out-of-State	1000	2-5	1
2/4/2015 21:27:08	Female	Graduate Student	Single	No	I am not sexually active.	A few times a week	An athletics field/stadium, A bedroom, A car, A campus building, A shower/bathroom, Elevator, The steam tunnels, parking lot, on a beach and a pool	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol	Geophysics	Heterosexual	Cock Ring	No	No	None of these	5		Role play, Had sex in a room where someone else was sleeping	I own and use them	No	An intrauterine device (IUD)	4	No	No	Within the past six months	No	Oral sex, Vaginal sex	No		3.89	Mountain Toad	Windows	Green Center	More than once a week	Yes	More than once a week	No	Out-of-State	40	1	1
2/4/2015 21:27:49	Female	Freshman	Single			I have never masturbated			Never	No	No	Yes		Physics	Heterosexual					1			I've never used them and I don't own any			4	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		3.188	None	Windows	At your house/dorm/apartment	More than once a week	No	More than once a week	No	In-State		6-10	
2/4/2015 21:29:28	Female	Freshman	Single			A few times a month			Never	No	No	Yes		Mechanical Engineering	Heterosexual					1			I've never used them and I don't own any			3	No	No	Never		Oral sex, Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	No		3.53	None	Windows	Arthur Lakes Library	Once a week	Yes	More than once a week	No	Out-of-State	480	6-10	
2/4/2015 21:29:57	Female	Senior	In a committed relationship	Yes	1-2 times per week	A few times a month	A bedroom, A shower/bathroom	I have never had a one night stand.	Almost never	No	No	No	None of these	Chemical and Biological Engineering	Heterosexual	Dildo, Handcuffs	No	Yes	None of these	4		Used props	I own and use them	Yes	Male condoms	5	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		2.4	Cannonball Creek Brewery	Windows	Local coffee shops	Once a week	No	Once a week	Yes	In-State	350	More than 15	1
2/4/2015 21:47:00	Female	Senior	In a committed relationship	Yes	3-5 times per week	I have never masturbated	A bedroom	Once a year (or when the stars align...)	Never	No	No	No	Alcohol	Geophysics	Heterosexual	Blindfold	No	Yes	Another Mines student	4	4	Role play, Had sex in a room where someone else was sleeping	I've never used them and I don't own any	Yes	Oral birth control	5	No	No	Within the past six months	No	Vaginal sex, Anal sex	Yes		3.06	Rock Rest Lodge	Windows	Green Center	Once a week	Yes	More than once a week	No	Out-of-State	600	2-5	2
2/4/2015 21:48:25	Female	Senior	Single	Yes	1-2 times per week	A few times a week	A bedroom, A car, A fraternity house, A shower/bathroom	Once a year (or when the stars align...)	Never	No	No	No	Alcohol	Petroleum Engineering	Heterosexual	Ice	No		Another Mines student, Someone in your department	4	3	Had sex in a room where someone else was sleeping	I own them but don't use them (...what?)	Yes	Oral birth control	2	No	No	Never	No	Vaginal sex, Anal sex	Yes		3.2	Ace-Hi Tavern	Mac OS	Marquez Hall	More than once a week	Yes	Once a week	Yes	Out-of-State	500	2-5	2
2/4/2015 21:50:49	Female	Freshman	Single	No	I am not sexually active.	A few times a month	A bedroom, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol	Mechanical Engineering	Heterosexual	None of these.	No	No	None of these	2	1	None of these.	I own and use them	No	Male condoms	1	No	No	Never	No	Vaginal sex, Anal sex	Yes				Windows	At your house/dorm/apartment	Once a week	Yes	Once a week	Yes	In-State	1300	2-5	1
2/4/2015 21:51:47	Female	Senior	Single	Yes	1-2 times per year (or when the stars align...)	A few times a month	A bedroom, A car, A shower/bathroom, Parking Garage	Once a year (or when the stars align...)	Almost never	No	Yes	No	Alcohol	Chemical and Biological Engineering	Heterosexual		No	No	Another Mines student, A student from another college	2	4	None of these.	I've never used them and I don't own any	Yes	Oral birth control	2	No	No	Within the past year	No	Vaginal sex, Anal sex	Yes		2.6	Rock Rest Lodge	Windows	Brown Building	Once a week	Yes	More than once a week	No	In-State	350	None	1
2/4/2015 21:51:48	Female	Freshman	In a committed relationship	Yes	1-2 times per month	Almost never	A bedroom, A car	I have never had a one night stand.	Almost never	No	No	No	None of these	Chemical and Biological Engineering	Heterosexual	None of these.	No	No	A student from another college	2		None of these.	I've never used them and I don't own any	No	Male condoms	5	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	Yes		2.9	None	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	No	In-State	250	2-5	1
2/4/2015 21:52:08	Female	Junior	Single	Yes	1-2 times per month	A few times a month	A bedroom, A fraternity house, A campus building, Couch	Once a month	Almost never	No	No	No	Alcohol	Metallurgical and Materials Engineering	Heterosexual	None of these.	No	No	Another Mines student, A coworker	4	4	Anal sex	I've never used them and I don't own any	Yes	An intrauterine device (IUD)	4	No	No	Within the past three months	No	Vaginal sex	Yes	Implant's pretty common for BC (the thing in the arm). I had it for five months, and I know plenty of girls who've been completely happen for it. Also, I have sex more often out of relationships than I do when I'm in one. Next page: I study in Hill, and most of the MME's do.	2.85	Rock Rest Lodge	Mac OS	Local coffee shops	Once a week	Yes	More than once a week	Yes	In-State	553	1	3
2/4/2015 21:54:34	Female	Sophomore	Single	No	I am not sexually active.	Almost never	A bedroom, A car	I have never had a one night stand.	Never	No	Yes	No	None of these	Mechanical Engineering	Heterosexual	None of these.	No	No	None of these	4	2	None of these.	I've never used them and I don't own any	Yes	Oral birth control	2	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	Yes		3	The Grizzly Rose	Mac OS	At your house/dorm/apartment	Once a week	No	More than once a week	No	In-State	600	6-10	1
2/4/2015 21:59:59	Female	Sophomore	In a committed relationship	Yes	1-2 times per month	A few times a month	A bedroom, A shower/bathroom	I have never had a one night stand.	Almost never	No	Yes	No	None of these	Mechanical Engineering	Heterosexual	Dildo, Blindfold, Rope	No	Yes	None of these, Someone I met abroad	4	3	Used props, Role play	I own and use them	No	Oral birth control	4	No	No	Within the past three months	No	Vaginal sex	No		3.2	None	Windows	Arthur Lakes Library	More than once a week	No	More than once a week	No	In-State	2000	6-10	1
2/4/2015 22:01:53	Female	Junior	In a committed relationship	No	I am not sexually active.	Almost never	A bedroom, A fraternity house	I have never had a one night stand.	Never	No	No	No	Alcohol	Civil and Environmental Engineering	Heterosexual	None of these.	No	Yes	Another Mines student, A student from another college	3	2	None of these.	I've never used them and I don't own any	No	Oral birth control	4	No	No	Within the past month	No	Vaginal sex	No		2.9	not 21 yet	Windows	At your house/dorm/apartment	More than once a week	No	Once a month	Yes	In-State	450	6-10	3
2/4/2015 22:06:27	Female	Freshman	Single	Yes	1-2 times per month	Almost never	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol	Geology and Geological Engineering	Heterosexual	None of these.	No	No	Another Mines student	2	3	None of these.	I've never used them and I don't own any	Yes	Oral birth control	2	No	No	Within the past month	No	Oral sex, Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	No		3.28		Mac OS	Brown Building	Once a week	No	More than once a week	No	Out-of-State	800	2-5	1
2/4/2015 22:06:30	Female	Sophomore	In a committed relationship			I have never masturbated			Never	No	No	Yes		Chemical and Biological Engineering	Heterosexual					2			I've never used them and I don't own any			4	No	No	Within the past year		Vaginal sex, Anal sex	No		3.7		Windows	Arthur Lakes Library	Once a week	No	More than once a week	No	Out-of-State	200	2-5	
2/4/2015 22:09:51	Female	Sophomore	In a committed relationship	Yes	Once a day	A few times a month	An athletics field/stadium, A bedroom, A car, A shower/bathroom, Kafadar	I have never had a one night stand.	Almost never	No	No	No	Alcohol, Marijuana	Geophysics	Heterosexual	None of these.	No	Yes	Another Mines student	3	3	None of these.	I own them but don't use them (...what?)	No	Oral birth control	4	No	No	Within the past three months	No	Oral sex, Vaginal sex	No		2.2	Mountain Toad	Windows	At your house/dorm/apartment	Once a week	No	Once a semester	Yes	In-State	415	1	1
2/4/2015 22:11:03	Female	Junior	Single			A few times a week			Almost never	No	No	Yes		Geology and Geological Engineering	Heterosexual					2			I've never used them and I don't own any			1	No	No	Never		Vaginal sex	No		3.66	Mountain Toad	Windows	Arthur Lakes Library	Once a week	Yes	More than once a week	Yes	Out-of-State	350	6-10	
2/4/2015 22:11:06	Female	Sophomore	In a committed relationship	Yes	1-2 times per week	A few times a month	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	A few times a month	No	No	No	Alcohol	Electrical Engineering and Computer Science	Heterosexual	Dildo, Vibrator, Cock Ring, Blindfold	No	Yes	A student from another college	4	3	Used props, Had sex in a room where someone else was sleeping	I own and use them	No	Oral birth control	5	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	No	This was pretty fun	3	The Grizzly Rose	Windows	Brown Building	More than once a week	No	Once a week	No	In-State	120	2-5	1
